fci_number,cs,en,list_id,cmku_url,cmku_popis_pdf
5,Anglický kokršpaněl,English Cocker Spaniel,5,https://www.cmku.cz/cz/seznam-plemen-159/5,https://www.cmku.cz/data/plemena_popisy/5-anglicky-kokrspanel.pdf
264,Anglický mastif,Mastiff,314,https://www.cmku.cz/cz/seznam-plemen-159/314,https://www.cmku.cz/data/plemena_popisy/314-anglicky-mastif.pdf
2,Anglický setr,English Setter,2,https://www.cmku.cz/cz/seznam-plemen-159/2,https://www.cmku.cz/data/plemena_popisy/2-anglicky-setr.pdf
125,Anglický špringr španěl,English Springer Spaniel,142,https://www.cmku.cz/cz/seznam-plemen-159/142,https://www.cmku.cz/data/plemena_popisy/142-anglicky-springr-spanel.pdf
13,Anglický toy terier,Toy Terrier,15,https://www.cmku.cz/cz/seznam-plemen-159/15,https://www.cmku.cz/data/plemena_popisy/15-anglicky-toy-terier.pdf
46,Appenzellský salašnický pes,Appenzeller Sennenhund,47,https://www.cmku.cz/cz/seznam-plemen-159/47,https://www.cmku.cz/data/plemena_popisy/47-appenzellsky-salasnicky-pes.pdf
171,Ardenský bouvier,Bouvier des Ardennes,194,https://www.cmku.cz/cz/seznam-plemen-159/194,https://www.cmku.cz/data/plemena_popisy/194-ardensky-bouvier.pdf
292,Argentinská doga,Dogo Argentino,340,https://www.cmku.cz/cz/seznam-plemen-159/340,https://www.cmku.cz/data/plemena_popisy/340-argentinska-doga.pdf
20,Ariégois,Ariégois,25,https://www.cmku.cz/cz/seznam-plemen-159/25,https://www.cmku.cz/data/plemena_popisy/25-ariegois.pdf
177,Ariegský ohař krátkosrstý,Braque d Ariége,219,https://www.cmku.cz/cz/seznam-plemen-159/219,https://www.cmku.cz/data/plemena_popisy/219-ariegsky-ohar-kratkosrsty.pdf
34,Artésko-normandský basset,Basset Artésien Normand,35,https://www.cmku.cz/cz/seznam-plemen-159/35,https://www.cmku.cz/data/plemena_popisy/35-artesko-normandsky-basset.pdf
28,Artoisský honič,Chien d Artois,30,https://www.cmku.cz/cz/seznam-plemen-159/30,https://www.cmku.cz/data/plemena_popisy/30-artoissky-honic.pdf
293,Australská kelpie,Australian Kelpie,341,https://www.cmku.cz/cz/seznam-plemen-159/341,https://www.cmku.cz/data/plemena_popisy/341-australska-kelpie.pdf
287,Australský honácký pes,Australian Cattledog,335,https://www.cmku.cz/cz/seznam-plemen-159/335,https://www.cmku.cz/data/plemena_popisy/335-australsky-honacky-pes.pdf
351,Australský honácký pes s krátkým ocasem,Australian Stumpy Tail Cattle Dog,399,https://www.cmku.cz/cz/seznam-plemen-159/399,https://www.cmku.cz/data/plemena_popisy/399-australsky-honacky-pes-s-kratkym-ocasem.pdf
342,Australský ovčák,Australian Shepherd,428,https://www.cmku.cz/cz/seznam-plemen-159/428,https://www.cmku.cz/data/plemena_popisy/428-australsky-ovcak.pdf
236,Australský Silky terier,Australian Silky Terrier,288,https://www.cmku.cz/cz/seznam-plemen-159/288,https://www.cmku.cz/data/plemena_popisy/288-australsky-silky-terier.pdf
8,Australský terier,Australian Terrier,8,https://www.cmku.cz/cz/seznam-plemen-159/8,https://www.cmku.cz/data/plemena_popisy/8-australsky-terier.pdf
180,Auvergneský ohař krátkosrstý,Braque d Auvergne,221,https://www.cmku.cz/cz/seznam-plemen-159/221,https://www.cmku.cz/data/plemena_popisy/221-auvergnesky-ohar-kratkosrsty.pdf
307,Azavak,Azawakh,355,https://www.cmku.cz/cz/seznam-plemen-159/355,https://www.cmku.cz/data/plemena_popisy/355-azavak.pdf
105,Barbet,Barbet,123,https://www.cmku.cz/cz/seznam-plemen-159/123,https://www.cmku.cz/data/plemena_popisy/123-barbet.pdf
193,Barzoj - ruský chrt,Borzoi,242,https://www.cmku.cz/cz/seznam-plemen-159/242,https://www.cmku.cz/data/plemena_popisy/242-barzoj-rusky-chrt.pdf
43,Basenji,Basenji,44,https://www.cmku.cz/cz/seznam-plemen-159/44,https://www.cmku.cz/data/plemena_popisy/44-basenji.pdf
163,Basset Hound,Basset Hound,186,https://www.cmku.cz/cz/seznam-plemen-159/186,https://www.cmku.cz/data/plemena_popisy/186-basset-hound.pdf
217,Bavorský barvář,Bayerischer Gebirgsschweisshund,264,https://www.cmku.cz/cz/seznam-plemen-159/264,https://www.cmku.cz/data/plemena_popisy/264-bavorsky-barvar.pdf
161,Beagle,Beagle,184,https://www.cmku.cz/cz/seznam-plemen-159/184,https://www.cmku.cz/data/plemena_popisy/184-beagle.pdf
290,Beagle Harrier,Beagle Harrier,338,https://www.cmku.cz/cz/seznam-plemen-159/338,https://www.cmku.cz/data/plemena_popisy/338-beagle-harrier.pdf
271,Bearded kolie,Bearded Collie,321,https://www.cmku.cz/cz/seznam-plemen-159/321,https://www.cmku.cz/data/plemena_popisy/321-bearded-kolie.pdf
44,Beauceron,Berger de Beauce,45,https://www.cmku.cz/cz/seznam-plemen-159/45,https://www.cmku.cz/data/plemena_popisy/45-beauceron.pdf
9,Bedlington terier,Bedlington Terrier,9,https://www.cmku.cz/cz/seznam-plemen-159/9,https://www.cmku.cz/data/plemena_popisy/9-bedlington-terier.pdf
81,Belgický grifonek,Griffon Belge,92,https://www.cmku.cz/cz/seznam-plemen-159/92,https://www.cmku.cz/data/plemena_popisy/92-belgicky-grifonek.pdf
15,Belgický ovčák,Chien de Berger Belge,17,https://www.cmku.cz/cz/seznam-plemen-159/17,https://www.cmku.cz/data/plemena_popisy/17-belgicky-ovcak.pdf
15,Belgický ovčák - Groenendael,Chien de Berger Belge - Groenendael,18,https://www.cmku.cz/cz/seznam-plemen-159/18,https://www.cmku.cz/data/plemena_popisy/18-belgicky-ovcak-groenendael.pdf
15,Belgický ovčák - Laekenois,Chien de Berger Belge - Laekenois,19,https://www.cmku.cz/cz/seznam-plemen-159/19,https://www.cmku.cz/data/plemena_popisy/19-belgicky-ovcak-laekenois.pdf
15,Belgický ovčák - Malinois,Chien de Berger Belge - Malinois,20,https://www.cmku.cz/cz/seznam-plemen-159/20,https://www.cmku.cz/data/plemena_popisy/20-belgicky-ovcak-malinois.pdf
15,Belgický ovčák - Tervueren,Chien de Berger Belge - Tervueren,21,https://www.cmku.cz/cz/seznam-plemen-159/21,https://www.cmku.cz/data/plemena_popisy/21-belgicky-ovcak-tervueren.pdf
194,Bergamský ovčák,Cane da Pastore Bergamasco,243,https://www.cmku.cz/cz/seznam-plemen-159/243,https://www.cmku.cz/data/plemena_popisy/243-bergamsky-ovcak.pdf
45,Bernský salašnický pes,Berner Sennenhund,46,https://www.cmku.cz/cz/seznam-plemen-159/46,https://www.cmku.cz/data/plemena_popisy/46-bernsky-salasnicky-pes.pdf
942,Biewer teriér,Biewer Terrier,454,https://www.cmku.cz/cz/seznam-plemen-159/454,https://www.cmku.cz/data/plemena_popisy/454-biewer-terier.pdf
25,Billy,Billy,29,https://www.cmku.cz/cz/seznam-plemen-159/29,https://www.cmku.cz/data/plemena_popisy/29-billy.pdf
347,Bílý švýcarský ovčák,Berger Blanc Suisse,395,https://www.cmku.cz/cz/seznam-plemen-159/395,https://www.cmku.cz/data/plemena_popisy/395-bily-svycarsky-ovcak.pdf
215,Bišonek,Bichon á poil Frisé,262,https://www.cmku.cz/cz/seznam-plemen-159/262,https://www.cmku.cz/data/plemena_popisy/262-bisonek.pdf
300,Black and Tan Coonhound,Black and Tan Coonhound,348,https://www.cmku.cz/cz/seznam-plemen-159/348,https://www.cmku.cz/data/plemena_popisy/348-black-and-tan-coonhound.pdf
84,Bloodhound,Chien de Saint Hubert,95,https://www.cmku.cz/cz/seznam-plemen-159/95,https://www.cmku.cz/data/plemena_popisy/95-bloodhound.pdf
16,Bobtail,Old English Sheepdog,22,https://www.cmku.cz/cz/seznam-plemen-159/22,https://www.cmku.cz/data/plemena_popisy/22-bobtail.pdf
196,Boloňský psík,Bolognese,245,https://www.cmku.cz/cz/seznam-plemen-159/245,https://www.cmku.cz/data/plemena_popisy/245-bolonsky-psik.pdf
116,Bordeauxská doga,Dogue de Bordeaux,133,https://www.cmku.cz/cz/seznam-plemen-159/133,https://www.cmku.cz/data/plemena_popisy/133-bordeauxska-doga.pdf
297,Border kolie,Border Collie,345,https://www.cmku.cz/cz/seznam-plemen-159/345,https://www.cmku.cz/data/plemena_popisy/345-border-kolie.pdf
10,Border terier,Border Terrier,10,https://www.cmku.cz/cz/seznam-plemen-159/10,https://www.cmku.cz/data/plemena_popisy/10-border-terier.pdf
355,Bosensko - hercegovinský - chorvatský ovčák,Tornjak,403,https://www.cmku.cz/cz/seznam-plemen-159/403,https://www.cmku.cz/data/plemena_popisy/403-bosensko-hercegovinsky-chorvatsky-ovcak.pdf
155,Bosenský hrubosrstý honič,Bosanski Oštrodlaki Gonič - Barak,178,https://www.cmku.cz/cz/seznam-plemen-159/178,https://www.cmku.cz/data/plemena_popisy/178-bosensky-hrubosrsty-honic.pdf
140,Bostonský terier,Boston Terrier,157,https://www.cmku.cz/cz/seznam-plemen-159/157,https://www.cmku.cz/data/plemena_popisy/157-bostonsky-terier.pdf
179,Bourbonský ohař krátkosrstý,Braque du Bourbonnais,220,https://www.cmku.cz/cz/seznam-plemen-159/220,https://www.cmku.cz/data/plemena_popisy/220-bourbonsky-ohar-kratkosrsty.pdf
82,Brabantík,Petit Brabancon,93,https://www.cmku.cz/cz/seznam-plemen-159/93,https://www.cmku.cz/data/plemena_popisy/93-brabantik.pdf
225,Brazilská fila,Fila Brasileiro,277,https://www.cmku.cz/cz/seznam-plemen-159/277,https://www.cmku.cz/data/plemena_popisy/277-brazilska-fila.pdf
374,Brazilský buldok,Buldogue Campeiro,442,https://www.cmku.cz/cz/seznam-plemen-159/442,https://www.cmku.cz/data/plemena_popisy/442-brazilsky-buldok.pdf
341,Brazilský terier,Brasilian Terrier,389,https://www.cmku.cz/cz/seznam-plemen-159/389,https://www.cmku.cz/data/plemena_popisy/389-brazilsky-terier.pdf
95,Bretaňský ohař dlouhosrstý,Epagneul Breton,106,https://www.cmku.cz/cz/seznam-plemen-159/106,https://www.cmku.cz/data/plemena_popisy/106-bretansky-ohar-dlouhosrsty.pdf
113,Briard,Berger de Brie,130,https://www.cmku.cz/cz/seznam-plemen-159/130,https://www.cmku.cz/data/plemena_popisy/130-briard.pdf
19,Briquet Griffon Vendéen,Briquet Griffon Vendéen,24,https://www.cmku.cz/cz/seznam-plemen-159/24,https://www.cmku.cz/data/plemena_popisy/24-briquet-griffon-vendeen.pdf
80,Bruselský grifonek,Griffon Bruxellois,91,https://www.cmku.cz/cz/seznam-plemen-159/91,https://www.cmku.cz/data/plemena_popisy/91-bruselsky-grifonek.pdf
157,Bullmastif,Bullmastiff,180,https://www.cmku.cz/cz/seznam-plemen-159/180,https://www.cmku.cz/data/plemena_popisy/180-bullmastif.pdf
11,Bulteriér,Bull Terrier,11,https://www.cmku.cz/cz/seznam-plemen-159/11,https://www.cmku.cz/data/plemena_popisy/11-bulterier.pdf
90,Burgoský perdiquero,Perdiquero de Burgos,429,https://www.cmku.cz/cz/seznam-plemen-159/429,https://www.cmku.cz/data/plemena_popisy/429-burgosky-perdiquero.pdf
923,Búrský buldok,Boerboel,419,https://www.cmku.cz/cz/seznam-plemen-159/419,https://www.cmku.cz/data/plemena_popisy/419-bursky-buldok.pdf
4,Cairn Terier,Cairn Terrier,4,https://www.cmku.cz/cz/seznam-plemen-159/4,https://www.cmku.cz/data/plemena_popisy/4-cairn-terier.pdf
170,Cao de Castro Laboreiro,Cao de Castro Laboreiro,193,https://www.cmku.cz/cz/seznam-plemen-159/193,https://www.cmku.cz/data/plemena_popisy/193-cao-de-castro-laboreiro.pdf
93,Cao de Serra de Aires,Cao de Serra de Aires,104,https://www.cmku.cz/cz/seznam-plemen-159/104,https://www.cmku.cz/data/plemena_popisy/104-cao-de-serra-de-aires.pdf
263,Chesapeake Bay Retriever,Chesapeake Bay Retriever,313,https://www.cmku.cz/cz/seznam-plemen-159/313,https://www.cmku.cz/data/plemena_popisy/313-chesapeake-bay-retriever.pdf
340,Chien Fila de Saint Miguel,Chien Fila de Saint Miguel,388,https://www.cmku.cz/cz/seznam-plemen-159/388,https://www.cmku.cz/data/plemena_popisy/388-chien-fila-de-saint-miguel.pdf
939,Chinese Chongquing dog,Chinese Chongquing dog,449,https://www.cmku.cz/cz/seznam-plemen-159/449,https://www.cmku.cz/data/plemena_popisy/449-chinese-chongquing-dog.pdf
364,Chodský pes,Chodský pes,406,https://www.cmku.cz/cz/seznam-plemen-159/406,https://www.cmku.cz/data/plemena_popisy/406-chodsky-pes.pdf
922,Chortaja Borzaja,Chortaja Borzaja,421,https://www.cmku.cz/cz/seznam-plemen-159/421,https://www.cmku.cz/data/plemena_popisy/421-chortaja-borzaja.pdf
277,Chorvatský ovčák,Hrvatski Ovčar,326,https://www.cmku.cz/cz/seznam-plemen-159/326,https://www.cmku.cz/data/plemena_popisy/326-chorvatsky-ovcak.pdf
205,Chow chow,Chow chow,254,https://www.cmku.cz/cz/seznam-plemen-159/254,https://www.cmku.cz/data/plemena_popisy/254-chow-chow.pdf
109,Clumber španěl,Clumber Spaniel,127,https://www.cmku.cz/cz/seznam-plemen-159/127,https://www.cmku.cz/data/plemena_popisy/127-clumber-spanel.pdf
283,Coton de Tuléar,Coton de Tuléar,331,https://www.cmku.cz/cz/seznam-plemen-159/331,https://www.cmku.cz/data/plemena_popisy/331-coton-de-tulear.pdf
110,Curly Coated Retriever,Curly Coated Retriever,128,https://www.cmku.cz/cz/seznam-plemen-159/128,https://www.cmku.cz/data/plemena_popisy/128-curly-coated-retriever.pdf
